<'body system', 'issue in', 'biomedical occupation or discipline'>
<'tissue', 'adjacent to', 'body space or junction'>
<'molecular function', 'precedes', 'genetic function'>
<'congenital abnormality', 'location of', 'bacterium'>
<'biologic function', 'affects', 'cell or molecular dysfunction'>
<'nucleic acid nucleoside or nucleotide', 'interacts with', 'enzyme'>
<'bird', 'interacts with', 'archaeon'>
<'cell function', 'issue in', 'occupation or discipline'>
<'lipid', 'affects', 'experimental model of disease'>
<'occupational activity', 'isa', 'activity'>
<'receptor', 'complicates', 'pathologic function'>
<'health care related organization', 'location of', 'diagnostic procedure'>
<'chemical viewed structurally', 'interacts with', 'receptor'>
<'quantitative concept', 'result of', 'mental process'>
<'chemical', 'causes', 'injury or poisoning'>
<'research device', 'issue in', 'biomedical occupation or discipline'>
<'immunologic factor', 'complicates', 'molecular function'>
<'acquired abnormality', 'manifestation of', 'mental or behavioral dysfunction'>
<'age group', 'performs', 'daily or recreational activity'>
<'cell', 'part of', 'virus'>
<'disease or syndrome', 'result of', 'pathologic function'>
<'immunologic factor', 'indicates', 'cell or molecular dysfunction'>
<'sign or symptom', 'evaluation of', 'organism function'>
<'cell function', 'affects', 'biologic function'>
<'cell or molecular dysfunction', 'manifestation of', 'experimental model of disease'>
<'mammal', 'interacts with', 'organism'>
<'organism function', 'process of', 'human'>
<'virus', 'location of', 'biologically active substance'>
<'neoplastic process', 'result of', 'organism function'>
<'enzyme', 'disrupts', 'fully formed anatomical structure'>
<'steroid', 'affects', 'cell or molecular dysfunction'>
<'indicator reagent or diagnostic aid', 'causes', 'experimental model of disease'>
<'laboratory procedure', 'measures', 'biologic function'>
<'immunologic factor', 'interacts with', 'hazardous or poisonous substance'>
<'research device', 'causes', 'anatomical abnormality'>
<'vitamin', 'complicates', 'molecular function'>
<'biologically active substance', 'complicates', 'mental or behavioral dysfunction'>
<'disease or syndrome', 'result of', 'phenomenon or process'>
<'congenital abnormality', 'result of', 'human caused phenomenon or process'>
<'mental or behavioral dysfunction', 'affects', 'experimental model of disease'>
<'laboratory or test result', 'evaluation of', 'organism function'>
<'laboratory procedure', 'assesses effect of', 'pathologic function'>
<'organism function', 'process of', 'genetic function'>
<'organic chemical', 'causes', 'acquired abnormality'>
<'anatomical abnormality', 'part of', 'mammal'>
<'cell component', 'part of', 'virus'>
<'disease or syndrome', 'result of', 'therapeutic or preventive procedure'>
<'laboratory procedure', 'analyzes', 'inorganic chemical'>
<'organism function', 'result of', 'mental process'>
<'acquired abnormality', 'affects', 'mental process'>
<'human', 'isa', 'animal'>
<'research activity', 'associated with', 'disease or syndrome'>
<'sign or symptom', 'manifestation of', 'biologic function'>
<'invertebrate', 'isa', 'animal'>
<'occupational activity', 'associated with', 'mental or behavioral dysfunction'>
<'cell function', 'process of', 'virus'>
<'food', 'causes', 'disease or syndrome'>
<'nucleic acid nucleoside or nucleotide', 'issue in', 'biomedical occupation or discipline'>
<'biologically active substance', 'disrupts', 'organ or tissue function'>
<'amino acid peptide or protein', 'interacts with', 'hazardous or poisonous substance'>
<'embryonic structure', 'location of', 'cell or molecular dysfunction'>
<'bacterium', 'interacts with', 'vertebrate'>
<'molecular function', 'result of', 'cell or molecular dysfunction'>
<'mental or behavioral dysfunction', 'affects', 'mammal'>
<'pharmacologic substance', 'complicates', 'molecular function'>
<'drug delivery device', 'causes', 'injury or poisoning'>
<'laboratory or test result', 'manifestation of', 'biologic function'>
<'molecular function', 'result of', 'natural phenomenon or process'>
<'reptile', 'exhibits', 'individual behavior'>
<'medical device', 'treats', 'sign or symptom'>
<'congenital abnormality', 'complicates', 'acquired abnormality'>
<'fully formed anatomical structure', 'issue in', 'biomedical occupation or discipline'>
<'sign or symptom', 'isa', 'conceptual entity'>
<'social behavior', 'associated with', 'population group'>
<'therapeutic or preventive procedure', 'treats', 'anatomical abnormality'>
<'disease or syndrome', 'affects', 'archaeon'>
<'antibiotic', 'interacts with', 'neuroreactive substance or biogenic amine'>
<'eicosanoid', 'isa', 'physical object'>
<'fully formed anatomical structure', 'location of', 'neoplastic process'>
<'neoplastic process', 'process of', 'plant'>
<'molecular function', 'process of', 'physiologic function'>
<'fungus', 'interacts with', 'animal'>
<'element ion or isotope', 'interacts with', 'chemical viewed functionally'>
<'gene or genome', 'location of', 'acquired abnormality'>
<'clinical attribute', 'property of', 'fish'>
<'organization', 'location of', 'health care activity'>
<'embryonic structure', 'part of', 'bird'>
<'laboratory or test result', 'isa', 'conceptual entity'>
<'pharmacologic substance', 'interacts with', 'hazardous or poisonous substance'>
<'organophosphorus compound', 'affects', 'mental or behavioral dysfunction'>
<'chemical viewed functionally', 'causes', 'disease or syndrome'>
<'regulation or law', 'issue in', 'occupation or discipline'>
<'biomedical occupation or discipline', 'issue in', 'occupation or discipline'>
<'mental or behavioral dysfunction', 'precedes', 'disease or syndrome'>
<'body space or junction', 'location of', 'cell function'>
<'disease or syndrome', 'occurs in', 'group'>
<'tissue', 'location of', 'rickettsia or chlamydia'>
<'educational activity', 'isa', 'event'>
<'individual behavior', 'process of', 'social behavior'>
<'mental or behavioral dysfunction', 'complicates', 'pathologic function'>
<'organ or tissue function', 'process of', 'rickettsia or chlamydia'>
<'virus', 'location of', 'hormone'>
<'neoplastic process', 'affects', 'vertebrate'>
<'hormone', 'affects', 'genetic function'>
<'human', 'isa', 'mammal'>
<'hormone', 'complicates', 'experimental model of disease'>
<'medical device', 'causes', 'injury or poisoning'>
<'physiologic function', 'result of', 'organ or tissue function'>
<'injury or poisoning', 'result of', 'social behavior'>
<'temporal concept', 'conceptual part of', 'organism function'>
<'laboratory procedure', 'analyzes', 'carbohydrate'>
<'antibiotic', 'complicates', 'genetic function'>
<'professional or occupational group', 'produces', 'clinical drug'>
<'finding', 'manifestation of', 'acquired abnormality'>
<'cell or molecular dysfunction', 'occurs in', 'injury or poisoning'>
<'injury or poisoning', 'result of', 'behavior'>
<'mental process', 'co-occurs with', 'molecular function'>
<'inorganic chemical', 'affects', 'physiologic function'>
<'amino acid peptide or protein', 'isa', 'chemical viewed structurally'>
<'experimental model of disease', 'occurs in', 'disease or syndrome'>
<'mental process', 'process of', 'bird'>
<'immunologic factor', 'affects', 'natural phenomenon or process'>
<'disease or syndrome', 'process of', 'rickettsia or chlamydia'>
<'organophosphorus compound', 'causes', 'neoplastic process'>
<'fungus', 'interacts with', 'mammal'>
<'patient or disabled group', 'issue in', 'occupation or discipline'>
<'chemical', 'issue in', 'biomedical occupation or discipline'>
<'organ or tissue function', 'isa', 'phenomenon or process'>
<'organism function', 'result of', 'disease or syndrome'>
<'physiologic function', 'process of', 'fungus'>
<'temporal concept', 'issue in', 'occupation or discipline'>
<'biologic function', 'affects', 'plant'>
<'mental process', 'process of', 'molecular function'>
<'vitamin', 'affects', 'cell or molecular dysfunction'>
<'pathologic function', 'process of', 'vertebrate'>
<'population group', 'interacts with', 'age group'>
<'clinical drug', 'causes', 'experimental model of disease'>
<'vitamin', 'affects', 'natural phenomenon or process'>
<'physiologic function', 'affects', 'rickettsia or chlamydia'>
<'lipid', 'interacts with', 'immunologic factor'>
<'vertebrate', 'interacts with', 'fish'>
<'natural phenomenon or process', 'affects', 'pathologic function'>
<'mental or behavioral dysfunction', 'process of', 'cell function'>
<'body substance', 'consists of', 'amino acid peptide or protein'>
<'manufactured object', 'causes', 'cell or molecular dysfunction'>
<'chemical', 'causes', 'anatomical abnormality'>
<'molecular function', 'process of', 'organ or tissue function'>
<'enzyme', 'disrupts', 'embryonic structure'>
<'research activity', 'method of', 'biomedical occupation or discipline'>
<'element ion or isotope', 'causes', 'congenital abnormality'>
<'congenital abnormality', 'manifestation of', 'physiologic function'>
<'fully formed anatomical structure', 'location of', 'mental process'>
<'biologic function', 'process of', 'human'>
<'embryonic structure', 'part of', 'bacterium'>
<'finding', 'associated with', 'experimental model of disease'>
<'plant', 'location of', 'immunologic factor'>
<'biologic function', 'process of', 'genetic function'>
<'receptor', 'affects', 'physiologic function'>
<'pharmacologic substance', 'affects', 'natural phenomenon or process'>
<'human caused phenomenon or process', 'result of', 'injury or poisoning'>
<'tissue', 'produces', 'organic chemical'>
<'mammal', 'exhibits', 'individual behavior'>
<'patient or disabled group', 'performs', 'activity'>
<'health care activity', 'affects', 'organism function'>
<'organism function', 'affects', 'plant'>
<'laboratory or test result', 'measurement of', 'inorganic chemical'>
<'inorganic chemical', 'isa', 'chemical viewed structurally'>
<'congenital abnormality', 'occurs in', 'population group'>
<'family group', 'uses', 'medical device'>
<'organ or tissue function', 'result of', 'neoplastic process'>
<'antibiotic', 'treats', 'congenital abnormality'>
<'educational activity', 'associated with', 'congenital abnormality'>
<'substance', 'causes', 'congenital abnormality'>
<'anatomical abnormality', 'affects', 'mental process'>
<'organism function', 'isa', 'biologic function'>
<'hazardous or poisonous substance', 'causes', 'cell or molecular dysfunction'>
<'pathologic function', 'affects', 'mental or behavioral dysfunction'>
<'research activity', 'measures', 'neoplastic process'>
<'genetic function', 'affects', 'cell function'>
<'cell or molecular dysfunction', 'produces', 'neuroreactive substance or biogenic amine'>
<'laboratory procedure', 'affects', 'pathologic function'>
<'body part organ or organ component', 'part of', 'animal'>
<'antibiotic', 'affects', 'neoplastic process'>
<'injury or poisoning', 'result of', 'molecular function'>
<'embryonic structure', 'part of', 'alga'>
<'genetic function', 'result of', 'neoplastic process'>
<'geographic area', 'associated with', 'mental or behavioral dysfunction'>
<'carbohydrate sequence', 'isa', 'molecular sequence'>
<'physiologic function', 'result of', 'environmental effect of humans'>
<'therapeutic or preventive procedure', 'affects', 'physiologic function'>
<'experimental model of disease', 'manifestation of', 'organism function'>
<'laboratory or test result', 'measurement of', 'organism function'>
<'steroid', 'causes', 'congenital abnormality'>
<'molecular biology research technique', 'measures', 'biologically active substance'>
<'sign or symptom', 'associated with', 'acquired abnormality'>
<'physiologic function', 'result of', 'biologic function'>
<'cell component', 'location of', 'experimental model of disease'>
<'cell or molecular dysfunction', 'result of', 'health care activity'>
<'idea or concept', 'issue in', 'biomedical occupation or discipline'>
<'congenital abnormality', 'location of', 'fungus'>
<'virus', 'causes', 'mental or behavioral dysfunction'>
<'diagnostic procedure', 'measures', 'organism function'>
<'research activity', 'measures', 'enzyme'>
<'medical device', 'issue in', 'biomedical occupation or discipline'>
<'neoplastic process', 'affects', 'cell or molecular dysfunction'>
<'pathologic function', 'occurs in', 'injury or poisoning'>
<'experimental model of disease', 'result of', 'behavior'>
<'governmental or regulatory activity', 'method of', 'occupation or discipline'>
<'acquired abnormality', 'result of', 'organ or tissue function'>
<'carbohydrate', 'interacts with', 'biomedical or dental material'>
<'lipid', 'affects', 'physiologic function'>
<'laboratory or test result', 'associated with', 'acquired abnormality'>
<'drug delivery device', 'treats', 'experimental model of disease'>
<'neoplastic process', 'affects', 'natural phenomenon or process'>
<'neoplastic process', 'co-occurs with', 'injury or poisoning'>
<'anatomical abnormality', 'complicates', 'congenital abnormality'>
<'research device', 'causes', 'neoplastic process'>
<'body location or region', 'isa', 'entity'>
<'organ or tissue function', 'process of', 'bird'>
<'eicosanoid', 'affects', 'mental or behavioral dysfunction'>
<'sign or symptom', 'evaluation of', 'cell function'>
<'laboratory or test result', 'measurement of', 'carbohydrate'>
<'behavior', 'associated with', 'group attribute'>
<'rickettsia or chlamydia', 'interacts with', 'bacterium'>
<'congenital abnormality', 'manifestation of', 'organ or tissue function'>
<'body part organ or organ component', 'part of', 'mammal'>
<'tissue', 'location of', 'molecular function'>
<'medical device', 'causes', 'anatomical abnormality'>
<'disease or syndrome', 'occurs in', 'patient or disabled group'>
<'fully formed anatomical structure', 'location of', 'disease or syndrome'>
<'neoplastic process', 'result of', 'cell function'>
<'cell or molecular dysfunction', 'result of', 'organism function'>
<'molecular function', 'affects', 'invertebrate'>
<'diagnostic procedure', 'measures', 'carbohydrate'>
<'organ or tissue function', 'process of', 'molecular function'>
<'cell or molecular dysfunction', 'manifestation of', 'physiologic function'>
<'body location or region', 'location of', 'acquired abnormality'>
<'chemical viewed structurally', 'interacts with', 'biologically active substance'>
<'laboratory or test result', 'evaluation of', 'cell function'>
<'inorganic chemical', 'interacts with', 'pharmacologic substance'>
<'acquired abnormality', 'result of', 'individual behavior'>
<'disease or syndrome', 'process of', 'bird'>
<'mental or behavioral dysfunction', 'affects', 'physiologic function'>
<'phenomenon or process', 'result of', 'pathologic function'>
<'mental process', 'affects', 'archaeon'>
<'acquired abnormality', 'location of', 'neoplastic process'>
<'body part organ or organ component', 'issue in', 'biomedical occupation or discipline'>
<'pathologic function', 'process of', 'cell or molecular dysfunction'>
<'neuroreactive substance or biogenic amine', 'affects', 'neoplastic process'>
<'gene or genome', 'location of', 'genetic function'>
<'organism attribute', 'result of', 'injury or poisoning'>
<'nucleic acid nucleoside or nucleotide', 'causes', 'injury or poisoning'>
<'antibiotic', 'disrupts', 'molecular function'>
<'organ or tissue function', 'result of', 'mental process'>
<'genetic function', 'process of', 'human'>
<'immunologic factor', 'causes', 'mental or behavioral dysfunction'>
<'organism function', 'affects', 'organism attribute'>
<'disease or syndrome', 'co-occurs with', 'pathologic function'>
<'sign or symptom', 'isa', 'finding'>
<'pathologic function', 'process of', 'natural phenomenon or process'>
<'acquired abnormality', 'affects', 'rickettsia or chlamydia'>
<'molecular function', 'affects', 'amphibian'>
<'molecular function', 'process of', 'biologic function'>
<'molecular biology research technique', 'measures', 'hormone'>
<'research activity', 'measures', 'mental process'>
<'tissue', 'part of', 'reptile'>
<'disease or syndrome', 'process of', 'molecular function'>
<'cell', 'part of', 'bacterium'>
<'congenital abnormality', 'location of', 'pathologic function'>
<'qualitative concept', 'evaluation of', 'occupational activity'>
<'laboratory procedure', 'analyzes', 'receptor'>
<'bird', 'issue in', 'biomedical occupation or discipline'>
<'antibiotic', 'affects', 'mental process'>
<'congenital abnormality', 'result of', 'cell or molecular dysfunction'>
<'physiologic function', 'affects', 'bird'>
<'bacterium', 'causes', 'mental or behavioral dysfunction'>
<'laboratory or test result', 'isa', 'finding'>
<'genetic function', 'result of', 'mental process'>
<'element ion or isotope', 'isa', 'chemical viewed structurally'>
<'chemical viewed structurally', 'isa', 'chemical'>
<'laboratory procedure', 'associated with', 'cell or molecular dysfunction'>
<'organophosphorus compound', 'causes', 'disease or syndrome'>
<'diagnostic procedure', 'uses', 'clinical drug'>
<'body part organ or organ component', 'connected to', 'tissue'>
<'antibiotic', 'complicates', 'injury or poisoning'>
<'chemical', 'affects', 'molecular function'>
<'pharmacologic substance', 'treats', 'injury or poisoning'>
<'physiologic function', 'affects', 'molecular function'>
<'age group', 'performs', 'governmental or regulatory activity'>
<'neoplastic process', 'complicates', 'mental or behavioral dysfunction'>
<'cell component', 'part of', 'bacterium'>
<'animal', 'isa', 'organism'>
<'biologically active substance', 'causes', 'congenital abnormality'>
<'immunologic factor', 'affects', 'experimental model of disease'>
<'tissue', 'location of', 'bacterium'>
<'cell or molecular dysfunction', 'affects', 'vertebrate'>
<'carbohydrate', 'affects', 'pathologic function'>
<'cell', 'part of', 'alga'>
<'organ or tissue function', 'process of', 'bacterium'>
<'pathologic function', 'manifestation of', 'experimental model of disease'>
<'chemical viewed structurally', 'interacts with', 'hormone'>
<'amino acid peptide or protein', 'causes', 'cell or molecular dysfunction'>
<'human caused phenomenon or process', 'result of', 'anatomical abnormality'>
<'body part organ or organ component', 'location of', 'organism function'>
<'patient or disabled group', 'produces', 'regulation or law'>
<'hormone', 'complicates', 'physiologic function'>
<'diagnostic procedure', 'affects', 'experimental model of disease'>
<'age group', 'uses', 'regulation or law'>
<'pathologic function', 'complicates', 'disease or syndrome'>
<'chemical viewed functionally', 'interacts with', 'hazardous or poisonous substance'>
<'pathologic function', 'result of', 'health care activity'>
<'pathologic function', 'result of', 'congenital abnormality'>
<'acquired abnormality', 'result of', 'environmental effect of humans'>
<'tissue', 'produces', 'vitamin'>
<'molecular biology research technique', 'measures', 'steroid'>
<'human caused phenomenon or process', 'issue in', 'occupation or discipline'>
<'enzyme', 'disrupts', 'mental process'>
<'lipid', 'interacts with', 'antibiotic'>
<'group', 'uses', 'drug delivery device'>
<'family group', 'performs', 'health care activity'>
<'patient or disabled group', 'uses', 'manufactured object'>
<'congenital abnormality', 'affects', 'animal'>
<'cell component', 'part of', 'alga'>
<'anatomical structure', 'part of', 'plant'>
<'acquired abnormality', 'result of', 'biologic function'>
<'steroid', 'isa', 'chemical viewed structurally'>
<'disease or syndrome', 'process of', 'bacterium'>
<'immunologic factor', 'isa', 'biologically active substance'>
<'laboratory procedure', 'diagnoses', 'pathologic function'>
<'injury or poisoning', 'occurs in', 'age group'>
<'antibiotic', 'causes', 'pathologic function'>
<'disease or syndrome', 'degree of', 'pathologic function'>
<'daily or recreational activity', 'associated with', 'experimental model of disease'>
<'organ or tissue function', 'process of', 'alga'>
<'fungus', 'causes', 'pathologic function'>
<'experimental model of disease', 'process of', 'organism function'>
<'neuroreactive substance or biogenic amine', 'affects', 'mental process'>
<'self help or relief organization', 'location of', 'governmental or regulatory activity'>
<'organ or tissue function', 'result of', 'disease or syndrome'>
<'research activity', 'associated with', 'mental or behavioral dysfunction'>
<'genetic function', 'affects', 'virus'>
<'clinical drug', 'issue in', 'occupation or discipline'>
<'food', 'causes', 'mental or behavioral dysfunction'>
<'diagnostic procedure', 'analyzes', 'organic chemical'>
<'research activity', 'measures', 'disease or syndrome'>
<'cell', 'location of', 'experimental model of disease'>
<'immunologic factor', 'complicates', 'pathologic function'>
<'organophosphorus compound', 'interacts with', 'hazardous or poisonous substance'>
<'enzyme', 'complicates', 'molecular function'>
<'organic chemical', 'interacts with', 'vitamin'>
<'occupational activity', 'method of', 'biomedical occupation or discipline'>
<'physiologic function', 'affects', 'bacterium'>
<'professional or occupational group', 'manages', 'organization'>
<'antibiotic', 'affects', 'disease or syndrome'>
<'biomedical or dental material', 'affects', 'natural phenomenon or process'>
<'anatomical abnormality', 'manifestation of', 'experimental model of disease'>
<'genetic function', 'result of', 'disease or syndrome'>
<'genetic function', 'process of', 'organism'>
<'chemical viewed structurally', 'interacts with', 'steroid'>
<'receptor', 'complicates', 'neoplastic process'>
<'molecular biology research technique', 'associated with', 'pathologic function'>
<'organism function', 'process of', 'archaeon'>
<'neoplastic process', 'co-occurs with', 'anatomical abnormality'>
<'disease or syndrome', 'affects', 'cell function'>
<'mental or behavioral dysfunction', 'affects', 'individual behavior'>
<'mammal', 'issue in', 'biomedical occupation or discipline'>
<'disease or syndrome', 'process of', 'alga'>
<'hormone', 'disrupts', 'genetic function'>
<'finding', 'evaluation of', 'experimental model of disease'>
<'embryonic structure', 'part of', 'organism'>
<'congenital abnormality', 'part of', 'plant'>
<'biologic function', 'result of', 'molecular function'>
<'natural phenomenon or process', 'process of', 'organ or tissue function'>
<'physiologic function', 'process of', 'animal'>
<'fully formed anatomical structure', 'location of', 'rickettsia or chlamydia'>
<'anatomical abnormality', 'result of', 'health care activity'>
<'anatomical abnormality', 'result of', 'congenital abnormality'>
<'individual behavior', 'affects', 'behavior'>
<'tissue', 'contains', 'body substance'>
<'enzyme', 'interacts with', 'hazardous or poisonous substance'>
<'chemical viewed functionally', 'causes', 'mental or behavioral dysfunction'>
<'embryonic structure', 'part of', 'fungus'>
<'body space or junction', 'isa', 'conceptual entity'>
<'gene or genome', 'part of', 'animal'>
<'mental process', 'result of', 'organ or tissue function'>
<'neoplastic process', 'process of', 'genetic function'>
<'fully formed anatomical structure', 'part of', 'reptile'>
<'food', 'affects', 'experimental model of disease'>
<'disease or syndrome', 'complicates', 'congenital abnormality'>
<'research device', 'causes', 'disease or syndrome'>
<'physiologic function', 'affects', 'alga'>
<'drug delivery device', 'causes', 'neoplastic process'>
<'inorganic chemical', 'causes', 'experimental model of disease'>
<'acquired abnormality', 'affects', 'bird'>
<'neuroreactive substance or biogenic amine', 'causes', 'pathologic function'>
<'nucleic acid nucleoside or nucleotide', 'causes', 'anatomical abnormality'>
<'cell', 'produces', 'nucleic acid nucleoside or nucleotide'>
<'cell function', 'co-occurs with', 'genetic function'>
<'anatomical abnormality', 'affects', 'rickettsia or chlamydia'>
<'pharmacologic substance', 'complicates', 'pathologic function'>
<'hazardous or poisonous substance', 'disrupts', 'genetic function'>
<'population group', 'uses', 'clinical drug'>
<'laboratory or test result', 'measurement of', 'receptor'>
<'organic chemical', 'affects', 'disease or syndrome'>
<'experimental model of disease', 'occurs in', 'mental or behavioral dysfunction'>
<'organic chemical', 'causes', 'injury or poisoning'>
<'hormone', 'causes', 'acquired abnormality'>
<'neuroreactive substance or biogenic amine', 'complicates', 'organism function'>
<'laboratory or test result', 'measurement of', 'cell function'>
<'mental process', 'issue in', 'biomedical occupation or discipline'>
<'mental process', 'result of', 'individual behavior'>
<'acquired abnormality', 'affects', 'molecular function'>
<'cell function', 'process of', 'human'>
<'genetic function', 'isa', 'biologic function'>
<'diagnostic procedure', 'assesses effect of', 'immunologic factor'>
<'diagnostic procedure', 'measures', 'cell function'>
<'molecular function', 'affects', 'fish'>
<'body substance', 'causes', 'injury or poisoning'>
<'antibiotic', 'interacts with', 'chemical'>
<'acquired abnormality', 'location of', 'disease or syndrome'>
<'nucleotide sequence', 'issue in', 'occupation or discipline'>
<'neuroreactive substance or biogenic amine', 'affects', 'disease or syndrome'>
<'cell function', 'process of', 'genetic function'>
<'element ion or isotope', 'affects', 'genetic function'>
<'neoplastic process', 'produces', 'immunologic factor'>
<'gene or genome', 'part of', 'mammal'>
<'governmental or regulatory activity', 'associated with', 'acquired abnormality'>
<'cell component', 'location of', 'physiologic function'>
<'medical device', 'treats', 'experimental model of disease'>
<'body location or region', 'location of', 'genetic function'>
<'cell component', 'produces', 'nucleic acid nucleoside or nucleotide'>
<'family group', 'produces', 'medical device'>
<'hazardous or poisonous substance', 'complicates', 'organ or tissue function'>
<'molecular function', 'affects', 'organ or tissue function'>
<'cell or molecular dysfunction', 'affects', 'natural phenomenon or process'>
<'cell component', 'affects', 'organism function'>
<'clinical drug', 'isa', 'manufactured object'>
<'genetic function', 'process of', 'pathologic function'>
<'virus', 'interacts with', 'animal'>
<'pharmacologic substance', 'treats', 'anatomical abnormality'>
<'vertebrate', 'isa', 'physical object'>
<'body part organ or organ component', 'produces', 'lipid'>
<'antibiotic', 'complicates', 'anatomical abnormality'>
<'fungus', 'issue in', 'occupation or discipline'>
<'population group', 'performs', 'daily or recreational activity'>
<'cell or molecular dysfunction', 'occurs in', 'neoplastic process'>
<'biologic function', 'affects', 'genetic function'>
<'idea or concept', 'result of', 'mental process'>
<'organism', 'issue in', 'biomedical occupation or discipline'>
<'rickettsia or chlamydia', 'interacts with', 'organism'>
<'steroid', 'interacts with', 'eicosanoid'>
<'experimental model of disease', 'occurs in', 'age group'>
<'gene or genome', 'location of', 'injury or poisoning'>
<'receptor', 'complicates', 'mental process'>
<'biologic function', 'isa', 'event'>
<'group attribute', 'isa', 'entity'>
<'cell or molecular dysfunction', 'result of', 'cell function'>
<'receptor', 'causes', 'experimental model of disease'>
<'cell function', 'affects', 'vertebrate'>
<'cell or molecular dysfunction', 'co-occurs with', 'congenital abnormality'>
<'anatomical abnormality', 'result of', 'human caused phenomenon or process'>
<'cell or molecular dysfunction', 'precedes', 'pathologic function'>
<'enzyme', 'affects', 'natural phenomenon or process'>
<'diagnostic procedure', 'diagnoses', 'experimental model of disease'>
<'carbohydrate sequence', 'issue in', 'occupation or discipline'>
<'organism function', 'co-occurs with', 'mental process'>
<'molecular function', 'affects', 'clinical attribute'>
<'laboratory procedure', 'method of', 'diagnostic procedure'>
<'invertebrate', 'interacts with', 'bird'>
<'receptor', 'isa', 'substance'>
<'mental or behavioral dysfunction', 'co-occurs with', 'acquired abnormality'>
<'disease or syndrome', 'manifestation of', 'pathologic function'>
<'organism function', 'affects', 'human'>
<'injury or poisoning', 'disrupts', 'gene or genome'>
<'laboratory procedure', 'assesses effect of', 'organic chemical'>
<'clinical attribute', 'property of', 'reptile'>
<'virus', 'interacts with', 'mammal'>
<'cell', 'part of', 'organism'>
<'natural phenomenon or process', 'process of', 'biologic function'>
<'mental process', 'result of', 'environmental effect of humans'>
<'organism function', 'affects', 'genetic function'>
<'congenital abnormality', 'affects', 'amphibian'>
<'tissue', 'surrounds', 'body space or junction'>
<'receptor', 'interacts with', 'chemical'>
<'fish', 'interacts with', 'mammal'>
<'amino acid peptide or protein', 'interacts with', 'element ion or isotope'>
<'patient or disabled group', 'performs', 'molecular biology research technique'>
<'classification', 'isa', 'entity'>
<'cell', 'part of', 'fungus'>
<'receptor', 'issue in', 'occupation or discipline'>
<'pharmacologic substance', 'disrupts', 'gene or genome'>
<'fully formed anatomical structure', 'contains', 'body substance'>
<'mental process', 'result of', 'biologic function'>
<'eicosanoid', 'interacts with', 'hazardous or poisonous substance'>
<'neoplastic process', 'result of', 'behavior'>
<'diagnostic procedure', 'analyzes', 'vitamin'>
<'lipid', 'causes', 'experimental model of disease'>
<'antibiotic', 'treats', 'cell or molecular dysfunction'>
<'physiologic function', 'process of', 'invertebrate'>
<'neuroreactive substance or biogenic amine', 'disrupts', 'body part organ or organ component'>
<'cell component', 'part of', 'organism'>
<'educational activity', 'associated with', 'cell or molecular dysfunction'>
<'amino acid peptide or protein', 'interacts with', 'pharmacologic substance'>
<'mental process', 'produces', 'family group'>
<'laboratory procedure', 'analyzes', 'biologically active substance'>
<'organ or tissue function', 'process of', 'organism'>
<'cell component', 'part of', 'fungus'>
<'immunologic factor', 'affects', 'physiologic function'>
<'body part organ or organ component', 'location of', 'cell function'>
<'health care activity', 'associated with', 'congenital abnormality'>
<'tissue', 'location of', 'fungus'>
<'hormone', 'interacts with', 'enzyme'>
<'lipid', 'isa', 'substance'>
<'fully formed anatomical structure', 'location of', 'molecular function'>
<'anatomical abnormality', 'location of', 'rickettsia or chlamydia'>
<'organ or tissue function', 'process of', 'fungus'>
<'pathologic function', 'manifestation of', 'physiologic function'>
<'physiologic function', 'process of', 'amphibian'>
<'cell function', 'produces', 'body substance'>
<'mental or behavioral dysfunction', 'isa', 'pathologic function'>
<'steroid', 'causes', 'cell or molecular dysfunction'>
<'diagnostic procedure', 'affects', 'physiologic function'>
<'self help or relief organization', 'produces', 'regulation or law'>
<'hormone', 'disrupts', 'body part organ or organ component'>
<'anatomical abnormality', 'affects', 'bird'>
<'injury or poisoning', 'result of', 'pathologic function'>
<'carbohydrate', 'interacts with', 'neuroreactive substance or biogenic amine'>
<'hazardous or poisonous substance', 'affects', 'organism function'>
<'pathologic function', 'affects', 'natural phenomenon or process'>
<'hazardous or poisonous substance', 'complicates', 'biologic function'>
<'disease or syndrome', 'process of', 'organism'>
<'molecular function', 'affects', 'biologic function'>
<'nucleic acid nucleoside or nucleotide', 'affects', 'molecular function'>
<'substance', 'isa', 'entity'>
<'molecular function', 'process of', 'reptile'>
<'amino acid peptide or protein', 'interacts with', 'eicosanoid'>
<'laboratory procedure', 'affects', 'neoplastic process'>
<'mental or behavioral dysfunction', 'isa', 'phenomenon or process'>
<'age group', 'issue in', 'occupation or discipline'>
<'experimental model of disease', 'process of', 'cell function'>
<'anatomical abnormality', 'affects', 'molecular function'>
<'mental process', 'affects', 'cell function'>
<'disease or syndrome', 'process of', 'fungus'>
<'genetic function', 'isa', 'event'>
<'injury or poisoning', 'result of', 'phenomenon or process'>
<'organism function', 'process of', 'neoplastic process'>
<'fully formed anatomical structure', 'produces', 'enzyme'>
<'acquired abnormality', 'location of', 'rickettsia or chlamydia'>
<'mammal', 'isa', 'physical object'>
<'drug delivery device', 'causes', 'disease or syndrome'>
<'group attribute', 'property of', 'population group'>
<'temporal concept', 'result of', 'mental process'>
<'injury or poisoning', 'result of', 'therapeutic or preventive procedure'>
<'rickettsia or chlamydia', 'isa', 'entity'>
<'body substance', 'causes', 'anatomical abnormality'>
