mental or behavioral dysfunction, result of, health care activity
neoplastic process, precedes, cell or molecular dysfunction
quantitative concept, isa, idea or concept
molecular function, result of, biologic function
mental process, result of, behavior
enzyme, affects, disease or syndrome
immunologic factor, affects, mental process
hormone, disrupts, organ or tissue function
biologic function, affects, fungus
organophosphorus compound, isa, organic chemical
acquired abnormality, affects, organ or tissue function
molecular function, affects, natural phenomenon or process
neoplastic process, precedes, disease or syndrome
organism function, result of, natural phenomenon or process
carbohydrate sequence, isa, idea or concept
mental or behavioral dysfunction, affects, neoplastic process
amphibian, isa, organism
fully formed anatomical structure, location of, fungus
immunologic factor, affects, mental or behavioral dysfunction
congenital abnormality, part of, human
biologically active substance, affects, mental or behavioral dysfunction
organ or tissue function, result of, organism function
cell component, part of, tissue
body part organ or organ component, location of, body location or region
organophosphorus compound, affects, organ or tissue function
acquired abnormality, location of, experimental model of disease
research activity, isa, event
mental or behavioral dysfunction, affects, mental process
natural phenomenon or process, affects, experimental model of disease
anatomical abnormality, affects, cell function
physiologic function, affects, bacterium
acquired abnormality, isa, entity
congenital abnormality, affects, organ or tissue function
enzyme, affects, mental process
environmental effect of humans, result of, cell or molecular dysfunction
neoplastic process, isa, event
gene or genome, part of, rickettsia or chlamydia
organophosphorus compound, isa, chemical
biologically active substance, affects, genetic function
gene or genome, location of, congenital abnormality
human caused phenomenon or process, result of, organ or tissue function
acquired abnormality, result of, anatomical abnormality
environmental effect of humans, result of, disease or syndrome
pathologic function, affects, cell function
physiologic function, result of, experimental model of disease
genetic function, affects, organism function
mental or behavioral dysfunction, affects, genetic function
hazardous or poisonous substance, isa, chemical viewed functionally
body part organ or organ component, isa, entity
mental or behavioral dysfunction, result of, natural phenomenon or process
neoplastic process, affects, rickettsia or chlamydia
cell component, part of, alga
cell, location of, experimental model of disease
cell function, affects, reptile
environmental effect of humans, result of, neoplastic process
food, affects, biologic function
diagnostic procedure, precedes, therapeutic or preventive procedure
biologic function, result of, congenital abnormality
organism function, result of, congenital abnormality
diagnostic procedure, affects, experimental model of disease
acquired abnormality, result of, neoplastic process
environmental effect of humans, result of, mental process
substance, isa, physical object
biologic function, affects, pathologic function
cell or molecular dysfunction, result of, anatomical abnormality
congenital abnormality, result of, biologic function
family group, isa, entity
neoplastic process, result of, organ or tissue function
fully formed anatomical structure, location of, pathologic function
fully formed anatomical structure, part of, animal
congenital abnormality, part of, virus
research activity, isa, occupational activity
chemical viewed functionally, affects, molecular function
regulation or law, affects, group
chemical viewed structurally, affects, organism function
environmental effect of humans, result of, mental or behavioral dysfunction
anatomical abnormality, affects, reptile
tissue, part of, reptile
amino acid peptide or protein, affects, cell function
gene or genome, location of, acquired abnormality
acquired abnormality, result of, mental or behavioral dysfunction
vitamin, affects, biologic function
anatomical abnormality, location of, experimental model of disease
pathologic function, result of, biologic function
fully formed anatomical structure, part of, organism
neuroreactive substance or biogenic amine, disrupts, mental process
pharmacologic substance, disrupts, cell function
organism attribute, result of, experimental model of disease
genetic function, result of, pathologic function
immunologic factor, isa, chemical viewed functionally
cell or molecular dysfunction, result of, neoplastic process
embryonic structure, isa, physical object
congenital abnormality, part of, fungus
mental process, affects, rickettsia or chlamydia
indicator reagent or diagnostic aid, affects, biologic function
organ or tissue function, affects, archaeon
environmental effect of humans, result of, genetic function
body part organ or organ component, part of, vertebrate
gene or genome, affects, organ or tissue function
eicosanoid, affects, cell function
phenomenon or process, result of, pathologic function
indicator reagent or diagnostic aid, isa, chemical
acquired abnormality, result of, genetic function
mental or behavioral dysfunction, result of, congenital abnormality
neuroreactive substance or biogenic amine, isa, chemical viewed functionally
biologic function, result of, acquired abnormality
nucleic acid nucleoside or nucleotide, affects, organ or tissue function
experimental model of disease, result of, biologic function
cell component, location of, experimental model of disease
pathologic function, isa, phenomenon or process
cell or molecular dysfunction, result of, mental or behavioral dysfunction
organ or tissue function, affects, organism function
natural phenomenon or process, affects, biologic function
natural phenomenon or process, result of, physiologic function
anatomical structure, location of, rickettsia or chlamydia
anatomical abnormality, part of, bacterium
neuroreactive substance or biogenic amine, disrupts, genetic function
neoplastic process, affects, human
steroid, affects, cell or molecular dysfunction
cell component, isa, entity
receptor, disrupts, organ or tissue function
occupational activity, isa, activity
health care related organization, isa, conceptual entity
regulation or law, affects, health care related organization
mental process, precedes, cell function
organ or tissue function, result of, phenomenon or process
hazardous or poisonous substance, affects, genetic function
neoplastic process, result of, therapeutic or preventive procedure
biomedical or dental material, isa, chemical
alga, location of, vitamin
mammal, isa, organism
therapeutic or preventive procedure, affects, molecular function
cell or molecular dysfunction, result of, genetic function
human, isa, mammal
steroid, affects, disease or syndrome
cell, part of, plant
self help or relief organization, location of, occupational activity
carbohydrate, affects, organism function
biologically active substance, affects, natural phenomenon or process
genetic function, result of, human caused phenomenon or process
organic chemical, affects, experimental model of disease
organophosphorus compound, affects, cell or molecular dysfunction
health care activity, isa, occupational activity
physiologic function, result of, biologic function
regulation or law, affects, population group
disease or syndrome, affects, fish
congenital abnormality, result of, laboratory procedure
enzyme, isa, entity
idea or concept, isa, conceptual entity
phenomenon or process, result of, human caused phenomenon or process
eicosanoid, isa, organic chemical
biologically active substance, disrupts, physiologic function
cell, location of, biologic function
steroid, affects, neoplastic process
acquired abnormality, location of, rickettsia or chlamydia
cell function, isa, event
mental process, affects, physiologic function
mental or behavioral dysfunction, affects, natural phenomenon or process
diagnostic procedure, affects, biologic function
antibiotic, disrupts, cell
organophosphorus compound, affects, disease or syndrome
rickettsia or chlamydia, location of, neuroreactive substance or biogenic amine
tissue, isa, physical object
health care related organization, location of, health care activity
cell function, affects, animal
mental process, affects, human
organism function, affects, plant
neoplastic process, isa, biologic function
food, affects, physiologic function
steroid, affects, mental process
human caused phenomenon or process, result of, cell or molecular dysfunction
group attribute, isa, entity
pathologic function, result of, laboratory procedure
anatomical abnormality, result of, environmental effect of humans
physiologic function, affects, amphibian
acquired abnormality, affects, vertebrate
molecular function, affects, invertebrate
disease or syndrome, precedes, cell or molecular dysfunction
geographic area, isa, conceptual entity
congenital abnormality, result of, physiologic function
hormone, disrupts, mental process
cell function, affects, organism
anatomical structure, part of, invertebrate
steroid, affects, mental or behavioral dysfunction
eicosanoid, isa, chemical
acquired abnormality, affects, mental process
human caused phenomenon or process, result of, disease or syndrome
plant, isa, entity
anatomical abnormality, affects, animal
health care activity, affects, organism function
organophosphorus compound, affects, mental process
temporal concept, result of, mental process
gene or genome, location of, organism function
vertebrate, isa, organism
anatomical abnormality, result of, injury or poisoning
tissue, part of, animal
neoplastic process, affects, virus
organism attribute, result of, biologic function
vitamin, affects, physiologic function
pathologic function, result of, physiologic function
congenital abnormality, isa, anatomical structure
experimental model of disease, precedes, neoplastic process
molecular function, affects, archaeon
congenital abnormality, affects, mental process
embryonic structure, part of, fish
biologic function, affects, cell function
cell, location of, rickettsia or chlamydia
hazardous or poisonous substance, disrupts, body part organ or organ component
tissue, part of, organism
pharmacologic substance, disrupts, cell component
enzyme, disrupts, organ or tissue function
human, isa, physical object
neoplastic process, result of, cell or molecular dysfunction
fully formed anatomical structure, location of, cell function
disease or syndrome, precedes, neoplastic process
neoplastic process, affects, fungus
environmental effect of humans, result of, natural phenomenon or process
mental or behavioral dysfunction, affects, plant
human caused phenomenon or process, result of, mental process
acquired abnormality, part of, invertebrate
bacterium, location of, vitamin
lipid, affects, neoplastic process
acquired abnormality, result of, natural phenomenon or process
experimental model of disease, precedes, mental or behavioral dysfunction
biologic function, result of, organism function
cell function, affects, clinical attribute
sign or symptom, isa, finding
body part organ or organ component, location of, molecular function
body location or region, location of, molecular function
body part organ or organ component, part of, reptile
virus, location of, neuroreactive substance or biogenic amine
neoplastic process, result of, disease or syndrome
natural phenomenon or process, affects, physiologic function
genetic function, result of, cell function
injury or poisoning, result of, molecular function
functional concept, isa, entity
cell or molecular dysfunction, affects, experimental model of disease
educational activity, isa, event
disease or syndrome, precedes, mental or behavioral dysfunction
mental process, affects, virus
anatomical abnormality, location of, rickettsia or chlamydia
body space or junction, part of, body part organ or organ component
clinical attribute, result of, environmental effect of humans
phenomenon or process, result of, cell function
hazardous or poisonous substance, affects, natural phenomenon or process
injury or poisoning, disrupts, organ or tissue function
body space or junction, location of, cell component
organism function, affects, clinical attribute
organic chemical, affects, biologic function
cell or molecular dysfunction, affects, amphibian
nucleic acid nucleoside or nucleotide, affects, cell or molecular dysfunction
cell or molecular dysfunction, result of, natural phenomenon or process
organism function, affects, molecular function
embryonic structure, location of, organ or tissue function
mental process, affects, fungus
neoplastic process, result of, mental process
hazardous or poisonous substance, disrupts, physiologic function
clinical attribute, result of, injury or poisoning
physiologic function, affects, biologic function
receptor, affects, organism function
experimental model of disease, affects, mammal
cell, part of, invertebrate
mental or behavioral dysfunction, precedes, experimental model of disease
lipid, affects, genetic function
injury or poisoning, result of, environmental effect of humans
antibiotic, disrupts, cell function
cell component, location of, rickettsia or chlamydia
biologic function, affects, reptile
disease or syndrome, result of, organ or tissue function
therapeutic or preventive procedure, isa, health care activity
nucleic acid nucleoside or nucleotide, affects, disease or syndrome
cell, location of, physiologic function
anatomical abnormality, affects, archaeon
molecular function, result of, anatomical abnormality
diagnostic procedure, affects, physiologic function
disease or syndrome, affects, mammal
acquired abnormality, result of, congenital abnormality
cell or molecular dysfunction, precedes, pathologic function
body part organ or organ component, location of, injury or poisoning
body location or region, location of, injury or poisoning
pharmacologic substance, isa, substance
pathologic function, result of, social behavior
anatomical structure, location of, fungus
immunologic factor, affects, molecular function
biologically active substance, affects, molecular function
neoplastic process, affects, pathologic function
gene or genome, isa, anatomical structure
natural phenomenon or process, result of, pathologic function
organism function, affects, invertebrate
gene or genome, affects, mental process
carbohydrate, isa, substance
anatomical abnormality, affects, organism function
cell or molecular dysfunction, isa, pathologic function
social behavior, result of, mental process
embryonic structure, part of, rickettsia or chlamydia
educational activity, isa, occupational activity
nucleic acid nucleoside or nucleotide, affects, mental process
experimental model of disease, affects, bird
molecular function, result of, neoplastic process
acquired abnormality, location of, virus
professional society, location of, laboratory procedure
pathologic function, affects, archaeon
organ or tissue function, affects, organism attribute
mental or behavioral dysfunction, affects, molecular function
anatomical structure, part of, bacterium
gene or genome, part of, tissue
organism attribute, result of, physiologic function
experimental model of disease, result of, social behavior
organ or tissue function, isa, event
receptor, disrupts, mental process
professional society, isa, conceptual entity
cell function, result of, pathologic function
disease or syndrome, affects, bird
mental process, affects, individual behavior
disease or syndrome, affects, human
biomedical occupation or discipline, isa, entity
pathologic function, affects, organism function
acquired abnormality, location of, fungus
cell component, part of, invertebrate
tissue, location of, organ or tissue function
organization, location of, laboratory procedure
reptile, isa, organism
food, isa, physical object
mental process, affects, pathologic function
organism function, isa, biologic function
hormone, affects, organ or tissue function
congenital abnormality, isa, entity
mental or behavioral dysfunction, affects, invertebrate
natural phenomenon or process, result of, human caused phenomenon or process
body part organ or organ component, part of, animal
physiologic function, precedes, cell function
regulation or law, affects, self help or relief organization
biologic function, result of, phenomenon or process
molecular function, result of, genetic function
congenital abnormality, result of, pathologic function
geographic area, isa, spatial concept
pharmacologic substance, disrupts, fully formed anatomical structure
gene or genome, part of, alga
pathologic function, result of, individual behavior
congenital abnormality, result of, anatomical abnormality
environmental effect of humans, result of, molecular function
body part organ or organ component, location of, diagnostic procedure
body location or region, location of, diagnostic procedure
neoplastic process, affects, vertebrate
organic chemical, affects, physiologic function
disease or syndrome, isa, biologic function
acquired abnormality, result of, molecular function
language, isa, conceptual entity
pharmacologic substance, disrupts, organism function
injury or poisoning, result of, diagnostic procedure
cell function, result of, human caused phenomenon or process
vitamin, affects, pathologic function
experimental model of disease, affects, organ or tissue function
tissue, location of, body space or junction
cell, location of, fungus
embryonic structure, part of, human
plant, location of, biologically active substance
congenital abnormality, part of, reptile
pathologic function, result of, anatomical abnormality
inorganic chemical, affects, organ or tissue function
chemical viewed functionally, affects, experimental model of disease
immunologic factor, disrupts, tissue
biologically active substance, disrupts, tissue
neuroreactive substance or biogenic amine, disrupts, molecular function
anatomical abnormality, location of, virus
lipid, affects, natural phenomenon or process
disease or syndrome, affects, organ or tissue function
eicosanoid, affects, organism function
biologic function, affects, animal
mental or behavioral dysfunction, isa, biologic function
element ion or isotope, isa, entity
molecular function, precedes, organ or tissue function
cell or molecular dysfunction, affects, rickettsia or chlamydia
antibiotic, affects, experimental model of disease
acquired abnormality, affects, plant
body part organ or organ component, location of, bacterium
disease or syndrome, affects, virus
cell, part of, bacterium
acquired abnormality, location of, pathologic function
daily or recreational activity, isa, event
amino acid peptide or protein, isa, entity
molecular biology research technique, affects, mental process
cell or molecular dysfunction, result of, molecular function
embryonic structure, location of, cell or molecular dysfunction
drug delivery device, isa, manufactured object
enzyme, disrupts, mental process
biologically active substance, isa, chemical
organ or tissue function, affects, fish
body space or junction, location of, organism function
anatomical abnormality, location of, fungus
environmental effect of humans, isa, event
experimental model of disease, result of, anatomical abnormality
invertebrate, isa, organism
mental process, precedes, organism function
immunologic factor, disrupts, genetic function
biologically active substance, disrupts, genetic function
molecular function, affects, organism attribute
neuroreactive substance or biogenic amine, affects, biologic function
congenital abnormality, affects, plant
disease or syndrome, result of, cell or molecular dysfunction
cell component, location of, virus
physiologic function, isa, natural phenomenon or process
phenomenon or process, result of, acquired abnormality
governmental or regulatory activity, isa, activity
indicator reagent or diagnostic aid, affects, neoplastic process
embryonic structure, location of, disease or syndrome
body space or junction, location of, injury or poisoning
organism function, affects, bacterium
food, affects, genetic function
human, isa, vertebrate
mental process, result of, organ or tissue function
enzyme, isa, chemical viewed functionally
molecular biology research technique, isa, activity
neoplastic process, affects, cell function
gene or genome, isa, entity
acquired abnormality, affects, organism
natural phenomenon or process, result of, cell function
biomedical or dental material, affects, biologic function
fungus, isa, organism
experimental model of disease, result of, neoplastic process
organism function, precedes, physiologic function
injury or poisoning, disrupts, mental process
physiologic function, result of, pathologic function
embryonic structure, location of, neoplastic process
enzyme, disrupts, genetic function
cell component, location of, fungus
indicator reagent or diagnostic aid, affects, mental or behavioral dysfunction
cell, location of, pathologic function
embryonic structure, part of, virus
embryonic structure, location of, mental process
organism function, result of, experimental model of disease
diagnostic procedure, affects, pathologic function
disease or syndrome, result of, neoplastic process
rickettsia or chlamydia, location of, immunologic factor
organism function, isa, physiologic function
congenital abnormality, affects, organism
virus, location of, biologically active substance
genetic function, affects, mammal
congenital abnormality, isa, physical object
cell or molecular dysfunction, affects, physiologic function
experimental model of disease, result of, mental or behavioral dysfunction
embryonic structure, location of, mental or behavioral dysfunction
disease or syndrome, result of, mental process
indicator reagent or diagnostic aid, affects, genetic function
cell component, location of, therapeutic or preventive procedure
cell or molecular dysfunction, affects, human
embryonic structure, part of, fungus
steroid, affects, molecular function
antibiotic, isa, substance
molecular function, result of, natural phenomenon or process
hazardous or poisonous substance, disrupts, cell
biologic function, affects, archaeon
anatomical structure, part of, amphibian
mental or behavioral dysfunction, affects, bacterium
organism attribute, isa, entity
disease or syndrome, result of, mental or behavioral dysfunction
tissue, location of, cell or molecular dysfunction
organ or tissue function, precedes, mental process
mental process, affects, cell function
hormone, disrupts, molecular function
anatomical abnormality, location of, pathologic function
experimental model of disease, result of, genetic function
acquired abnormality, affects, molecular function
manufactured object, isa, physical object
nucleic acid nucleoside or nucleotide, isa, substance
hormone, affects, cell or molecular dysfunction
natural phenomenon or process, affects, genetic function
physiologic function, result of, human caused phenomenon or process
biologic function, affects, organism function
laboratory procedure, affects, pathologic function
chemical viewed functionally, affects, biologic function
congenital abnormality, part of, animal
genetic function, affects, bird
congenital abnormality, result of, cell function
neoplastic process, affects, reptile
fully formed anatomical structure, location of, organism function
amino acid sequence, isa, idea or concept
chemical viewed functionally, isa, entity
carbohydrate, isa, organic chemical
mental or behavioral dysfunction, result of, experimental model of disease
hormone, affects, disease or syndrome
congenital abnormality, affects, molecular function
acquired abnormality, result of, diagnostic procedure
element ion or isotope, isa, physical object
molecular function, affects, fish
laboratory procedure, isa, health care activity
cell component, location of, pathologic function
tissue, location of, neoplastic process
acquired abnormality, part of, amphibian
vitamin, affects, cell function
experimental model of disease, affects, cell or molecular dysfunction
genetic function, result of, organism function
amino acid peptide or protein, isa, physical object
pharmacologic substance, isa, chemical
tissue, location of, mental process
mental process, isa, biologic function
individual behavior, isa, behavior
health care related organization, isa, organization
inorganic chemical, affects, cell or molecular dysfunction
molecular function, result of, congenital abnormality
carbohydrate, isa, chemical
disease or syndrome, affects, cell or molecular dysfunction
organic chemical, isa, substance
molecular sequence, result of, mental process
health care related organization, location of, occupational activity
phenomenon or process, result of, organism function
vitamin, disrupts, body part organ or organ component
experimental model of disease, affects, disease or syndrome
pharmacologic substance, disrupts, embryonic structure
hormone, affects, mental process
chemical, affects, cell or molecular dysfunction
tissue, location of, mental or behavioral dysfunction
professional or occupational group, isa, group
cell component, affects, physiologic function
body location or region, location of, experimental model of disease
cell or molecular dysfunction, result of, diagnostic procedure
organic chemical, affects, pathologic function
neuroreactive substance or biogenic amine, disrupts, gene or genome
mental process, affects, reptile
inorganic chemical, affects, disease or syndrome
qualitative concept, isa, entity
element ion or isotope, affects, neoplastic process
acquired abnormality, part of, fish
experimental model of disease, affects, neoplastic process
human caused phenomenon or process, result of, environmental effect of humans
therapeutic or preventive procedure, affects, biologic function
antibiotic, disrupts, organism function
tissue, location of, genetic function
cell, part of, amphibian
steroid, isa, organic chemical
cell or molecular dysfunction, affects, fungus
neoplastic process, result of, molecular function
experimental model of disease, affects, mental process
genetic function, affects, organ or tissue function
organism function, affects, experimental model of disease
organism attribute, result of, genetic function
quantitative concept, isa, entity
disease or syndrome, affects, vertebrate
mental process, result of, cell or molecular dysfunction
chemical, affects, neoplastic process
pathologic function, result of, natural phenomenon or process
organ or tissue function, affects, human
human caused phenomenon or process, result of, injury or poisoning
inorganic chemical, affects, mental process
element ion or isotope, affects, mental or behavioral dysfunction
experimental model of disease, affects, mental or behavioral dysfunction
congenital abnormality, part of, archaeon
disease or syndrome, affects, mental process
embryonic structure, part of, cell
hazardous or poisonous substance, disrupts, cell function
physiologic function, result of, cell function
molecular function, precedes, mental process
indicator reagent or diagnostic aid, affects, natural phenomenon or process
organism function, affects, amphibian
steroid, isa, chemical
mental process, result of, disease or syndrome
vitamin, disrupts, physiologic function
physiologic function, affects, neoplastic process
cell, location of, cell function
fully formed anatomical structure, part of, mammal
chemical, affects, mental or behavioral dysfunction
diagnostic procedure, affects, cell function
chemical viewed structurally, affects, organ or tissue function
neoplastic process, result of, environmental effect of humans
immunologic factor, affects, experimental model of disease
biologically active substance, affects, experimental model of disease
element ion or isotope, affects, genetic function
experimental model of disease, result of, natural phenomenon or process
idea or concept, result of, mental process
nucleic acid nucleoside or nucleotide, affects, molecular function
body location or region, result of, mental process
natural phenomenon or process, result of, acquired abnormality
immunologic factor, isa, biologically active substance
chemical viewed functionally, affects, physiologic function
mental process, result of, neoplastic process
molecular function, affects, rickettsia or chlamydia
anatomical structure, part of, rickettsia or chlamydia
pathologic function, affects, fish
neoplastic process, affects, animal
chemical viewed structurally, isa, chemical
receptor, disrupts, molecular function
neoplastic process, result of, injury or poisoning
chemical, affects, genetic function
mental or behavioral dysfunction, affects, experimental model of disease
embryonic structure, part of, vertebrate
cell component, part of, amphibian
natural phenomenon or process, isa, phenomenon or process
neuroreactive substance or biogenic amine, isa, biologically active substance
nucleotide sequence, isa, conceptual entity
physiologic function, precedes, organism function
mental process, result of, mental or behavioral dysfunction
fully formed anatomical structure, part of, bird
pathologic function, result of, congenital abnormality
cell or molecular dysfunction, affects, pathologic function
physiologic function, affects, genetic function
laboratory procedure, affects, cell function
bird, isa, entity
hormone, disrupts, gene or genome
therapeutic or preventive procedure, isa, occupational activity
mental or behavioral dysfunction, affects, amphibian
mental process, isa, physiologic function
pathologic function, precedes, cell or molecular dysfunction
carbohydrate sequence, result of, mental process
experimental model of disease, isa, pathologic function
genetic function, result of, phenomenon or process
organ or tissue function, affects, virus
body part organ or organ component, location of, biologic function
body location or region, location of, biologic function
body space or junction, isa, idea or concept
acquired abnormality, part of, rickettsia or chlamydia
acquired abnormality, affects, bacterium
lipid, isa, entity
injury or poisoning, result of, biologic function
cell component, location of, cell function
physiologic function, affects, alga
pathologic function, precedes, disease or syndrome
neoplastic process, isa, natural phenomenon or process
disease or syndrome, isa, pathologic function
mental process, affects, animal
experimental model of disease, result of, congenital abnormality
cell component, part of, fish
mental or behavioral dysfunction, precedes, pathologic function
carbohydrate, affects, organ or tissue function
gene or genome, part of, archaeon
organ or tissue function, result of, cell or molecular dysfunction
laboratory or test result, isa, finding
congenital abnormality, result of, acquired abnormality
cell function, precedes, genetic function
congenital abnormality, affects, bacterium
environmental effect of humans, result of, experimental model of disease
organism function, affects, biologic function
organism function, result of, physiologic function
self help or relief organization, isa, entity
mental or behavioral dysfunction, isa, pathologic function
acquired abnormality, result of, experimental model of disease
molecular function, affects, human
injury or poisoning, isa, phenomenon or process
organ or tissue function, result of, disease or syndrome
organic chemical, affects, cell function
organism attribute, result of, natural phenomenon or process
human, isa, organism
cell function, affects, mammal
pathologic function, result of, acquired abnormality
biologic function, isa, event
neuroreactive substance or biogenic amine, isa, substance
nucleic acid nucleoside or nucleotide, isa, organic chemical
organization, location of, educational activity
physiologic function, result of, congenital abnormality
cell, part of, rickettsia or chlamydia
disease or syndrome, affects, reptile
neoplastic process, result of, diagnostic procedure
mental or behavioral dysfunction, result of, laboratory procedure
pathologic function, precedes, mental or behavioral dysfunction
body substance, isa, entity
enzyme, disrupts, molecular function
hazardous or poisonous substance, disrupts, cell component
antibiotic, isa, chemical
cell, location of, congenital abnormality
immunologic factor, affects, biologic function
biologically active substance, affects, biologic function
genetic function, affects, cell or molecular dysfunction
congenital abnormality, result of, health care activity
body part organ or organ component, isa, fully formed anatomical structure
anatomical abnormality, affects, mammal
alga, isa, entity
inorganic chemical, isa, entity
cell or molecular dysfunction, result of, experimental model of disease
organ or tissue function, result of, mental process
health care activity, affects, organ or tissue function
tissue, part of, mammal
antibiotic, disrupts, embryonic structure
element ion or isotope, affects, natural phenomenon or process
neoplastic process, affects, organism function
genetic function, isa, molecular function
organization, location of, molecular biology research technique
natural phenomenon or process, result of, organism function
nucleic acid nucleoside or nucleotide, isa, chemical
acquired abnormality, part of, human
intellectual product, isa, entity
cell function, affects, bird
gene or genome, location of, virus
genetic function, affects, disease or syndrome
mental or behavioral dysfunction, affects, biologic function
organ or tissue function, result of, mental or behavioral dysfunction
mental or behavioral dysfunction, result of, physiologic function
indicator reagent or diagnostic aid, affects, molecular function
chemical, affects, natural phenomenon or process
injury or poisoning, disrupts, molecular function
neuroreactive substance or biogenic amine, affects, neoplastic process
chemical viewed structurally, affects, cell or molecular dysfunction
mental process, affects, archaeon
genetic function, affects, neoplastic process
biologic function, result of, organ or tissue function
cell function, result of, organism function
gene or genome, location of, fungus
anatomical abnormality, affects, bird
embryonic structure, location of, molecular function
embryonic structure, part of, reptile
physiologic function, result of, acquired abnormality
bird, isa, physical object
physiologic function, affects, natural phenomenon or process
molecular function, affects, virus
tissue, part of, bird
genetic function, affects, mental process
organism function, precedes, cell function
chemical viewed structurally, affects, disease or syndrome
biomedical or dental material, affects, neoplastic process
cell component, part of, rickettsia or chlamydia
cell function, result of, injury or poisoning
neuroreactive substance or biogenic amine, affects, mental or behavioral dysfunction
mental process, affects, organism function
body location or region, location of, physiologic function
disease or syndrome, result of, molecular function
anatomical abnormality, part of, alga
cell, location of, acquired abnormality
organic chemical, isa, chemical
genetic function, affects, mental or behavioral dysfunction
receptor, disrupts, gene or genome
congenital abnormality, location of, cell or molecular dysfunction
cell component, part of, body part organ or organ component
family group, isa, conceptual entity
experimental model of disease, affects, plant
molecular function, affects, fungus
mental or behavioral dysfunction, affects, rickettsia or chlamydia
cell or molecular dysfunction, affects, cell function
organ or tissue function, precedes, molecular function
anatomical structure, part of, fungus
chemical viewed functionally, affects, pathologic function
steroid, affects, experimental model of disease
environmental effect of humans, result of, biologic function
congenital abnormality, result of, organism function
biomedical or dental material, affects, mental or behavioral dysfunction
pathologic function, affects, human
neuroreactive substance or biogenic amine, affects, genetic function
chemical viewed structurally, affects, mental process
receptor, affects, organ or tissue function
congenital abnormality, location of, disease or syndrome
disease or syndrome, affects, plant
acquired abnormality, result of, biologic function
cell component, isa, fully formed anatomical structure
organism function, affects, physiologic function
antibiotic, affects, pathologic function
functional concept, result of, mental process
acquired abnormality, part of, virus
vitamin, disrupts, cell
rickettsia or chlamydia, isa, entity
disease or syndrome, result of, environmental effect of humans
organ or tissue function, affects, disease or syndrome
bacterium, isa, entity
cell function, isa, natural phenomenon or process
biomedical or dental material, affects, genetic function
receptor, isa, entity
carbohydrate, affects, cell or molecular dysfunction
laboratory procedure, isa, event
experimental model of disease, affects, organism
acquired abnormality, affects, amphibian
acquired abnormality, part of, fungus
anatomical abnormality, affects, organ or tissue function
organ or tissue function, affects, vertebrate
social behavior, affects, individual behavior
immunologic factor, affects, physiologic function
cell or molecular dysfunction, result of, biologic function
biologically active substance, affects, physiologic function
tissue, location of, molecular function
carbohydrate, affects, disease or syndrome
organism function, isa, natural phenomenon or process
professional or occupational group, isa, entity
disease or syndrome, affects, organism
organ or tissue function, affects, mental process
immunologic factor, disrupts, gene or genome
cell component, part of, human
congenital abnormality, affects, amphibian
hormone, affects, molecular function
amino acid sequence, result of, mental process
disease or syndrome, precedes, experimental model of disease
vitamin, isa, entity
fungus, location of, immunologic factor
mental process, affects, behavior
regulation or law, isa, entity
medical device, isa, manufactured object
mental or behavioral dysfunction, affects, physiologic function
lipid, affects, experimental model of disease
fish, isa, entity
natural phenomenon or process, result of, phenomenon or process
pathologic function, affects, organ or tissue function
molecular function, affects, pathologic function
organism function, result of, pathologic function
cell or molecular dysfunction, isa, phenomenon or process
hazardous or poisonous substance, disrupts, fully formed anatomical structure
mental or behavioral dysfunction, result of, therapeutic or preventive procedure
cell component, affects, cell function
injury or poisoning, result of, social behavior
carbohydrate, affects, mental process
pathologic function, affects, virus
research activity, isa, activity
health care activity, affects, cell or molecular dysfunction
individual behavior, affects, social behavior
enzyme, disrupts, gene or genome
professional society, location of, health care activity
element ion or isotope, affects, molecular function
experimental model of disease, affects, molecular function
hazardous or poisonous substance, disrupts, organism function
body part organ or organ component, part of, mammal
physiologic function, result of, organism function
embryonic structure, part of, animal
carbohydrate, affects, mental or behavioral dysfunction
group attribute, isa, conceptual entity
cell, location of, organism function
laboratory procedure, isa, occupational activity
acquired abnormality, result of, laboratory procedure
health care activity, affects, disease or syndrome
gene or genome, location of, disease or syndrome
mental or behavioral dysfunction, isa, natural phenomenon or process
therapeutic or preventive procedure, affects, neoplastic process
diagnostic procedure, affects, organism function
embryonic structure, part of, organism
behavior, affects, mental process
chemical, affects, molecular function
anatomical abnormality, result of, neoplastic process
congenital abnormality, part of, fish
steroid, affects, biologic function
pharmacologic substance, disrupts, organ or tissue function
injury or poisoning, disrupts, gene or genome
environmental effect of humans, result of, physiologic function
fungus, location of, receptor
mental or behavioral dysfunction, result of, pathologic function
disease or syndrome, result of, diagnostic procedure
organism function, result of, human caused phenomenon or process
biologic function, result of, human caused phenomenon or process
therapeutic or preventive procedure, affects, mental or behavioral dysfunction
body part organ or organ component, part of, bird
acquired abnormality, result of, physiologic function
neuroreactive substance or biogenic amine, affects, natural phenomenon or process
vitamin, disrupts, cell function
health care activity, affects, mental process
anatomical abnormality, result of, mental or behavioral dysfunction
cell component, part of, virus
biologic function, result of, disease or syndrome
biologic function, affects, mammal
congenital abnormality, result of, phenomenon or process
alga, location of, hormone
cell or molecular dysfunction, result of, laboratory procedure
eicosanoid, affects, organ or tissue function
clinical attribute, result of, cell or molecular dysfunction
embryonic structure, location of, bacterium
mental process, result of, molecular function
health care activity, affects, mental or behavioral dysfunction
laboratory procedure, affects, organism function
