pharmacologic substance, complicates, anatomical abnormality
tissue, produces, receptor
disease or syndrome, process of, mental or behavioral dysfunction
inorganic chemical, affects, cell function
research activity, measures, clinical attribute
mental or behavioral dysfunction, co-occurs with, pathologic function
hazardous or poisonous substance, complicates, pathologic function
cell or molecular dysfunction, process of, fish
carbohydrate, isa, substance
disease or syndrome, affects, fish
mental process, affects, biologic function
body substance, derivative of, tissue
phenomenon or process, result of, experimental model of disease
hazardous or poisonous substance, causes, pathologic function
pathologic function, process of, archaeon
pathologic function, produces, neuroreactive substance or biogenic amine
element ion or isotope, interacts with, vitamin
medical device, causes, mental or behavioral dysfunction
laboratory or test result, measurement of, element ion or isotope
carbohydrate, affects, organ or tissue function
experimental model of disease, co-occurs with, pathologic function
mental or behavioral dysfunction, process of, archaeon
natural phenomenon or process, result of, mental or behavioral dysfunction
tissue, part of, bacterium
molecular biology research technique, measures, inorganic chemical
amino acid peptide or protein, causes, neoplastic process
laboratory procedure, measures, experimental model of disease
laboratory procedure, analyzes, chemical
element ion or isotope, affects, pathologic function
pharmacologic substance, treats, experimental model of disease
diagnostic procedure, analyzes, inorganic chemical
pathologic function, process of, fungus
pharmacologic substance, treats, anatomical abnormality
disease or syndrome, process of, fish
laboratory procedure, measures, pharmacologic substance
pathologic function, associated with, clinical attribute
genetic function, result of, mental or behavioral dysfunction
manufactured object, causes, congenital abnormality
mental process, process of, organism
experimental model of disease, produces, hormone
receptor, complicates, experimental model of disease
lipid, interacts with, biologically active substance
chemical viewed functionally, affects, experimental model of disease
body location or region, location of, experimental model of disease
steroid, affects, mental or behavioral dysfunction
mental or behavioral dysfunction, associated with, clinical attribute
self help or relief organization, location of, occupational activity
neoplastic process, occurs in, injury or poisoning
gene or genome, location of, experimental model of disease
receptor, causes, experimental model of disease
tissue, part of, virus
experimental model of disease, process of, fungus
neuroreactive substance or biogenic amine, disrupts, embryonic structure
neoplastic process, issue in, biomedical occupation or discipline
molecular function, process of, experimental model of disease
antibiotic, diagnoses, neoplastic process
experimental model of disease, associated with, clinical attribute
pharmacologic substance, disrupts, cell function
biologic function, affects, cell or molecular dysfunction
pathologic function, affects, mammal
physiologic function, affects, pathologic function
pathologic function, affects, molecular function
embryonic structure, location of, experimental model of disease
pharmacologic substance, interacts with, vitamin
neoplastic process, produces, immunologic factor
therapeutic or preventive procedure, affects, neoplastic process
pathologic function, affects, biologic function
immunologic factor, affects, mental or behavioral dysfunction
steroid, interacts with, pharmacologic substance
mental or behavioral dysfunction, affects, mammal
element ion or isotope, affects, genetic function
mental or behavioral dysfunction, process of, natural phenomenon or process
embryonic structure, part of, virus
fish, exhibits, social behavior
antibiotic, interacts with, biologically active substance
manufactured object, causes, acquired abnormality
nucleic acid nucleoside or nucleotide, affects, mental or behavioral dysfunction
pathologic function, result of, laboratory procedure
body part organ or organ component, produces, carbohydrate
chemical viewed structurally, interacts with, steroid
embryonic structure, location of, mental process
lipid, isa, physical object
element ion or isotope, interacts with, receptor
organic chemical, interacts with, carbohydrate
cell function, process of, mental or behavioral dysfunction
pharmacologic substance, complicates, cell function
experimental model of disease, affects, mammal
chemical viewed structurally, interacts with, immunologic factor
experimental model of disease, process of, natural phenomenon or process
tissue, part of, alga
cell function, result of, experimental model of disease
finding, evaluation of, pathologic function
experimental model of disease, complicates, congenital abnormality
steroid, isa, substance
finding, manifestation of, pathologic function
neoplastic process, process of, organism function
neuroreactive substance or biogenic amine, causes, mental or behavioral dysfunction
biologic function, process of, amphibian
indicator reagent or diagnostic aid, causes, experimental model of disease
pathologic function, process of, organism
congenital abnormality, manifestation of, pathologic function
organ or tissue function, isa, biologic function
vitamin, interacts with, chemical
clinical attribute, result of, neoplastic process
nucleic acid nucleoside or nucleotide, causes, pathologic function
experimental model of disease, result of, laboratory procedure
vitamin, complicates, mental or behavioral dysfunction
neoplastic process, result of, congenital abnormality
pathologic function, process of, cell function
congenital abnormality, location of, mental or behavioral dysfunction
neoplastic process, manifestation of, organ or tissue function
organophosphorus compound, interacts with, element ion or isotope
vitamin, causes, mental or behavioral dysfunction
neuroreactive substance or biogenic amine, isa, chemical
anatomical structure, part of, virus
molecular function, affects, mental or behavioral dysfunction
mental or behavioral dysfunction, process of, cell function
organophosphorus compound, causes, mental or behavioral dysfunction
amino acid peptide or protein, interacts with, steroid
laboratory or test result, evaluation of, neoplastic process
neoplastic process, result of, human caused phenomenon or process
steroid, causes, experimental model of disease
health care activity, associated with, pathologic function
diagnostic procedure, affects, biologic function
disease or syndrome, co-occurs with, experimental model of disease
tissue, part of, invertebrate
cell or molecular dysfunction, process of, neoplastic process
steroid, causes, anatomical abnormality
diagnostic procedure, measures, experimental model of disease
steroid, affects, disease or syndrome
receptor, affects, neoplastic process
molecular biology research technique, measures, biologic function
disease or syndrome, affects, neoplastic process
vitamin, isa, chemical
pharmacologic substance, affects, experimental model of disease
experimental model of disease, process of, cell function
steroid, isa, organic chemical
laboratory procedure, analyzes, biologically active substance
chemical, affects, genetic function
chemical viewed structurally, affects, mental or behavioral dysfunction
human caused phenomenon or process, result of, biologic function
experimental model of disease, complicates, acquired abnormality
gene or genome, produces, steroid
acquired abnormality, manifestation of, pathologic function
experimental model of disease, result of, therapeutic or preventive procedure
biologically active substance, causes, pathologic function
pharmacologic substance, interacts with, receptor
injury or poisoning, complicates, neoplastic process
inorganic chemical, affects, mental process
antibiotic, complicates, biologic function
neoplastic process, process of, physiologic function
pathologic function, manifestation of, experimental model of disease
neoplastic process, result of, acquired abnormality
inorganic chemical, affects, physiologic function
pharmacologic substance, affects, mental process
biologic function, result of, pathologic function
embryonic structure, part of, fish
mental or behavioral dysfunction, manifestation of, experimental model of disease
disease or syndrome, process of, neoplastic process
sign or symptom, evaluation of, biologic function
inorganic chemical, causes, cell or molecular dysfunction
anatomical abnormality, result of, mental or behavioral dysfunction
mental process, affects, pathologic function
chemical viewed structurally, causes, pathologic function
neuroreactive substance or biogenic amine, affects, neoplastic process
pathologic function, manifestation of, mental process
fish, exhibits, individual behavior
pharmacologic substance, causes, cell or molecular dysfunction
chemical viewed structurally, interacts with, pharmacologic substance
carbohydrate, interacts with, receptor
mental or behavioral dysfunction, occurs in, injury or poisoning
experimental model of disease, isa, phenomenon or process
biologic function, produces, neuroreactive substance or biogenic amine
neoplastic process, isa, natural phenomenon or process
mental or behavioral dysfunction, manifestation of, mental process
inorganic chemical, interacts with, biomedical or dental material
drug delivery device, treats, experimental model of disease
laboratory procedure, measures, inorganic chemical
pathologic function, process of, cell or molecular dysfunction
organophosphorus compound, isa, chemical viewed structurally
antibiotic, treats, mental or behavioral dysfunction
neoplastic process, associated with, experimental model of disease
natural phenomenon or process, result of, neoplastic process
biologically active substance, complicates, genetic function
neoplastic process, affects, organism
chemical, causes, pathologic function
qualitative concept, evaluation of, research activity
biologically active substance, disrupts, cell function
pathologic function, affects, bacterium
food, isa, physical object
mental or behavioral dysfunction, result of, diagnostic procedure
neoplastic process, process of, bird
neoplastic process, result of, biologic function
therapeutic or preventive procedure, treats, experimental model of disease
neoplastic process, precedes, cell or molecular dysfunction
organization, location of, research activity
mental or behavioral dysfunction, produces, immunologic factor
receptor, isa, biologically active substance
lipid, interacts with, steroid
cell component, isa, fully formed anatomical structure
genetic function, result of, neoplastic process
anatomical structure, part of, fish
chemical viewed structurally, interacts with, organophosphorus compound
pharmacologic substance, complicates, organism function
fish, interacts with, human
amino acid peptide or protein, interacts with, pharmacologic substance
diagnostic procedure, measures, element ion or isotope
steroid, affects, neoplastic process
organic chemical, interacts with, chemical
pharmacologic substance, treats, congenital abnormality
steroid, issue in, biomedical occupation or discipline
neoplastic process, degree of, mental or behavioral dysfunction
experimental model of disease, result of, organ or tissue function
element ion or isotope, interacts with, chemical viewed functionally
pharmacologic substance, disrupts, mental process
chemical viewed functionally, isa, physical object
diagnostic procedure, diagnoses, mental or behavioral dysfunction
steroid, interacts with, inorganic chemical
plant, interacts with, organism
genetic function, process of, experimental model of disease
mental or behavioral dysfunction, process of, reptile
pathologic function, process of, organism function
embryonic structure, isa, entity
biologic function, isa, event
tissue, produces, hormone
medical device, isa, manufactured object
research activity, isa, occupational activity
body part organ or organ component, isa, anatomical structure
mental or behavioral dysfunction, process of, organism function
neoplastic process, occurs in, population group
chemical viewed structurally, affects, disease or syndrome
biologic function, produces, body substance
neuroreactive substance or biogenic amine, isa, biologically active substance
immunologic factor, affects, neoplastic process
experimental model of disease, process of, reptile
carbohydrate, interacts with, element ion or isotope
vertebrate, interacts with, organism
mental or behavioral dysfunction, affects, pathologic function
fully formed anatomical structure, part of, vertebrate
anatomical abnormality, isa, physical object
carbohydrate, causes, mental or behavioral dysfunction
mental or behavioral dysfunction, affects, rickettsia or chlamydia
nucleic acid nucleoside or nucleotide, affects, neoplastic process
chemical, isa, physical object
element ion or isotope, interacts with, hazardous or poisonous substance
mental or behavioral dysfunction, result of, social behavior
pharmacologic substance, complicates, physiologic function
experimental model of disease, process of, organism function
vitamin, isa, biologically active substance
mental process, result of, mental or behavioral dysfunction
diagnostic procedure, assesses effect of, carbohydrate
pharmacologic substance, treats, acquired abnormality
lipid, affects, mental or behavioral dysfunction
amino acid peptide or protein, causes, experimental model of disease
self help or relief organization, manages, patient or disabled group
carbohydrate, isa, chemical
experimental model of disease, affects, pathologic function
eicosanoid, interacts with, chemical
enzyme, interacts with, chemical
fish, interacts with, reptile
behavior, manifestation of, mental or behavioral dysfunction
experimental model of disease, precedes, mental or behavioral dysfunction
experimental model of disease, affects, rickettsia or chlamydia
enzyme, complicates, mental or behavioral dysfunction
neoplastic process, affects, cell or molecular dysfunction
pathologic function, affects, alga
neuroreactive substance or biogenic amine, causes, neoplastic process
research activity, affects, mental process
pathologic function, process of, physiologic function
anatomical abnormality, manifestation of, mental or behavioral dysfunction
tissue, location of, cell or molecular dysfunction
eicosanoid, causes, mental or behavioral dysfunction
enzyme, causes, mental or behavioral dysfunction
mental or behavioral dysfunction, affects, alga
organ or tissue function, affects, mental or behavioral dysfunction
fully formed anatomical structure, location of, cell or molecular dysfunction
disease or syndrome, associated with, pathologic function
inorganic chemical, issue in, occupation or discipline
virus, isa, organism
mental or behavioral dysfunction, process of, physiologic function
phenomenon or process, result of, biologic function
neoplastic process, co-occurs with, cell or molecular dysfunction
research activity, measures, organism attribute
mental or behavioral dysfunction, result of, cell or molecular dysfunction
lipid, causes, pathologic function
molecular function, affects, neoplastic process
organophosphorus compound, causes, neoplastic process
anatomical abnormality, part of, organism
pharmacologic substance, disrupts, cell component
manufactured object, causes, pathologic function
body system, conceptual part of, fully formed anatomical structure
eicosanoid, isa, chemical
enzyme, isa, chemical
mental or behavioral dysfunction, affects, genetic function
laboratory procedure, measures, biologic function
experimental model of disease, affects, alga
antibiotic, affects, mental or behavioral dysfunction
experimental model of disease, process of, physiologic function
antibiotic, diagnoses, experimental model of disease
tissue, part of, archaeon
pathologic function, affects, invertebrate
steroid, interacts with, neuroreactive substance or biogenic amine
element ion or isotope, causes, injury or poisoning
organ or tissue function, process of, mental or behavioral dysfunction
embryonic structure, developmental form of, cell
pharmacologic substance, isa, chemical viewed functionally
neoplastic process, degree of, disease or syndrome
neoplastic process, process of, amphibian
biologically active substance, disrupts, organism function
laboratory or test result, manifestation of, pathologic function
therapeutic or preventive procedure, affects, experimental model of disease
laboratory procedure, diagnoses, mental or behavioral dysfunction
pharmacologic substance, interacts with, hazardous or poisonous substance
chemical viewed structurally, affects, neoplastic process
mental or behavioral dysfunction, isa, natural phenomenon or process
health care activity, affects, mental or behavioral dysfunction
mental or behavioral dysfunction, affects, invertebrate
organism function, affects, pathologic function
steroid, causes, congenital abnormality
antibiotic, complicates, pathologic function
experimental model of disease, affects, genetic function
receptor, complicates, biologic function
chemical viewed functionally, affects, biologic function
body location or region, location of, biologic function
tissue, location of, organism function
fully formed anatomical structure, location of, organism function
pathologic function, process of, bird
pathologic function, result of, mental or behavioral dysfunction
pathologic function, associated with, organism attribute
gene or genome, location of, biologic function
body part organ or organ component, produces, biologically active substance
neoplastic process, occurs in, family group
chemical viewed structurally, interacts with, inorganic chemical
manufactured object, issue in, occupation or discipline
antibiotic, causes, pathologic function
disease or syndrome, manifestation of, mental or behavioral dysfunction
element ion or isotope, interacts with, hormone
mental or behavioral dysfunction, result of, organism function
fully formed anatomical structure, part of, rickettsia or chlamydia
pharmacologic substance, disrupts, cell
biologically active substance, ingredient of, clinical drug
mental or behavioral dysfunction, associated with, organism attribute
sign or symptom, evaluation of, pathologic function
experimental model of disease, isa, natural phenomenon or process
research activity, uses, research device
body substance, causes, mental or behavioral dysfunction
anatomical abnormality, result of, neoplastic process
carbohydrate, causes, disease or syndrome
neoplastic process, manifestation of, disease or syndrome
molecular function, process of, biologic function
neuroreactive substance or biogenic amine, disrupts, fully formed anatomical structure
embryonic structure, location of, molecular function
pathologic function, degree of, mental or behavioral dysfunction
carbohydrate, interacts with, hazardous or poisonous substance
embryonic structure, location of, biologic function
amino acid peptide or protein, affects, neoplastic process
laboratory procedure, assesses effect of, carbohydrate
clinical attribute, result of, experimental model of disease
mental or behavioral dysfunction, result of, individual behavior
experimental model of disease, associated with, organism attribute
manufactured object, isa, physical object
antibiotic, treats, neoplastic process
body space or junction, location of, pathologic function
physiologic function, process of, pathologic function
fully formed anatomical structure, isa, physical object
biologically active substance, disrupts, physiologic function
amino acid peptide or protein, interacts with, inorganic chemical
fully formed anatomical structure, part of, alga
experimental model of disease, precedes, disease or syndrome
steroid, causes, acquired abnormality
neoplastic process, result of, pathologic function
laboratory or test result, evaluation of, experimental model of disease
biologic function, affects, mammal
mental or behavioral dysfunction, occurs in, population group
food, affects, mental or behavioral dysfunction
experimental model of disease, degree of, mental or behavioral dysfunction
element ion or isotope, affects, cell function
fully formed anatomical structure, location of, physiologic function
self help or relief organization, location of, laboratory procedure
steroid, isa, physical object
acquired abnormality, result of, mental or behavioral dysfunction
steroid, interacts with, indicator reagent or diagnostic aid
cell or molecular dysfunction, process of, experimental model of disease
cell function, result of, biologic function
element ion or isotope, interacts with, antibiotic
receptor, affects, experimental model of disease
anatomical abnormality, location of, pathologic function
mental or behavioral dysfunction, result of, physiologic function
disease or syndrome, affects, experimental model of disease
diagnostic procedure, assesses effect of, chemical
self help or relief organization, issue in, occupation or discipline
laboratory or test result, measurement of, carbohydrate
pharmacologic substance, interacts with, hormone
mental or behavioral dysfunction, affects, animal
neoplastic process, produces, neuroreactive substance or biogenic amine
environmental effect of humans, result of, mental or behavioral dysfunction
disease or syndrome, result of, neoplastic process
laboratory procedure, affects, neoplastic process
antibiotic, isa, physical object
diagnostic procedure, associated with, neoplastic process
injury or poisoning, complicates, experimental model of disease
hazardous or poisonous substance, affects, experimental model of disease
chemical, affects, natural phenomenon or process
carbohydrate, causes, injury or poisoning
neoplastic process, manifestation of, injury or poisoning
natural phenomenon or process, affects, mental or behavioral dysfunction
pathologic function, result of, phenomenon or process
experimental model of disease, issue in, occupation or discipline
archaeon, interacts with, organism
biologic function, process of, mental or behavioral dysfunction
tissue, part of, organism
human, isa, organism
self help or relief organization, carries out, diagnostic procedure
invertebrate, isa, organism
experimental model of disease, affects, animal
physiologic function, affects, organism
disease or syndrome, process of, experimental model of disease
cell or molecular dysfunction, result of, pathologic function
diagnostic procedure, measures, biologic function
pharmacologic substance, affects, molecular function
clinical drug, isa, physical object
pathologic function, isa, phenomenon or process
pathologic function, result of, disease or syndrome
neuroreactive substance or biogenic amine, affects, experimental model of disease
receptor, disrupts, tissue
embryonic structure, location of, organ or tissue function
pharmacologic substance, affects, biologic function
carbohydrate, interacts with, hormone
enzyme, isa, biologically active substance
laboratory procedure, assesses effect of, mental or behavioral dysfunction
carbohydrate, causes, neoplastic process
mental or behavioral dysfunction, co-occurs with, cell or molecular dysfunction
social behavior, manifestation of, mental or behavioral dysfunction
biologically active substance, disrupts, cell component
tissue, produces, lipid
embryonic structure, part of, plant
natural phenomenon or process, process of, mental or behavioral dysfunction
experimental model of disease, result of, phenomenon or process
cell or molecular dysfunction, isa, pathologic function
pathologic function, manifestation of, molecular function
tissue, produces, carbohydrate
cell or molecular dysfunction, degree of, pathologic function
natural phenomenon or process, result of, experimental model of disease
hazardous or poisonous substance, disrupts, tissue
geographic area, associated with, mental or behavioral dysfunction
pathologic function, process of, amphibian
neoplastic process, isa, event
invertebrate, causes, mental or behavioral dysfunction
cell or molecular dysfunction, affects, mental or behavioral dysfunction
tissue, produces, nucleic acid nucleoside or nucleotide
fungus, causes, pathologic function
pharmacologic substance, interacts with, antibiotic
mental or behavioral dysfunction, manifestation of, molecular function
biologic function, process of, fish
pharmacologic substance, diagnoses, pathologic function
experimental model of disease, precedes, neoplastic process
chemical, affects, cell function
enzyme, complicates, neoplastic process
neoplastic process, produces, body substance
mental or behavioral dysfunction, degree of, disease or syndrome
indicator reagent or diagnostic aid, interacts with, chemical
experimental model of disease, result of, disease or syndrome
lipid, interacts with, inorganic chemical
mental or behavioral dysfunction, process of, amphibian
element ion or isotope, affects, cell or molecular dysfunction
fungus, interacts with, fish
cell, produces, biologically active substance
genetic function, result of, experimental model of disease
eicosanoid, causes, neoplastic process
enzyme, causes, neoplastic process
organ or tissue function, affects, neoplastic process
genetic function, affects, fish
reptile, isa, organism
tissue, part of, body part organ or organ component
research device, isa, physical object
steroid, affects, experimental model of disease
experimental model of disease, manifestation of, molecular function
pharmacologic substance, disrupts, fully formed anatomical structure
hormone, disrupts, tissue
mental or behavioral dysfunction, occurs in, family group
biologic function, affects, vertebrate
food, affects, disease or syndrome
experimental model of disease, degree of, disease or syndrome
experimental model of disease, process of, amphibian
biologically active substance, interacts with, vitamin
drug delivery device, isa, manufactured object
carbohydrate, interacts with, antibiotic
fully formed anatomical structure, part of, animal
body part organ or organ component, surrounds, tissue
laboratory procedure, assesses effect of, chemical
anatomical structure, part of, plant
embryonic structure, location of, bacterium
cell or molecular dysfunction, affects, fish
steroid, affects, mental process
chemical viewed structurally, interacts with, organic chemical
biologically active substance, affects, pathologic function
chemical viewed structurally, interacts with, indicator reagent or diagnostic aid
experimental model of disease, occurs in, mental or behavioral dysfunction
body part organ or organ component, location of, mental or behavioral dysfunction
neoplastic process, complicates, mental or behavioral dysfunction
inorganic chemical, affects, organ or tissue function
experimental model of disease, produces, biologically active substance
pathologic function, affects, archaeon
laboratory procedure, diagnoses, neoplastic process
health care activity, affects, neoplastic process
receptor, complicates, pathologic function
element ion or isotope, affects, organism function
immunologic factor, affects, experimental model of disease
disease or syndrome, complicates, pathologic function
pharmacologic substance, affects, organ or tissue function
biologically active substance, complicates, cell function
anatomical structure, part of, human
body part organ or organ component, produces, steroid
gene or genome, location of, pathologic function
mental or behavioral dysfunction, affects, archaeon
cell component, isa, physical object
biologic function, process of, disease or syndrome
pathologic function, result of, neoplastic process
nucleic acid nucleoside or nucleotide, affects, experimental model of disease
receptor, causes, pathologic function
organic chemical, interacts with, steroid
disease or syndrome, manifestation of, neoplastic process
fungus, isa, physical object
experimental model of disease, result of, injury or poisoning
diagnostic procedure, assesses effect of, biologically active substance
chemical viewed structurally, interacts with, amino acid peptide or protein
pathologic function, manifestation of, organ or tissue function
genetic function, process of, biologic function
embryonic structure, location of, virus
molecular function, process of, pathologic function
laboratory or test result, measurement of, chemical
biologic function, result of, cell function
body substance, causes, neoplastic process
mental or behavioral dysfunction, affects, fungus
experimental model of disease, affects, archaeon
mental or behavioral dysfunction, manifestation of, organ or tissue function
mental process, affects, organism
pathologic function, complicates, injury or poisoning
neuroreactive substance or biogenic amine, causes, experimental model of disease
fish, isa, entity
occupational activity, associated with, mental or behavioral dysfunction
mental or behavioral dysfunction, produces, neuroreactive substance or biogenic amine
mental or behavioral dysfunction, degree of, neoplastic process
experimental model of disease, result of, neoplastic process
vitamin, complicates, experimental model of disease
neuroreactive substance or biogenic amine, complicates, pathologic function
immunologic factor, disrupts, tissue
cell, location of, pathologic function
cell or molecular dysfunction, complicates, mental or behavioral dysfunction
biologically active substance, affects, genetic function
experimental model of disease, affects, fungus
carbohydrate, affects, cell or molecular dysfunction
molecular function, affects, experimental model of disease
element ion or isotope, affects, physiologic function
organophosphorus compound, causes, experimental model of disease
pathologic function, complicates, neoplastic process
laboratory procedure, associated with, pathologic function
bacterium, isa, organism
biologic function, affects, pathologic function
food, affects, neoplastic process
experimental model of disease, degree of, neoplastic process
experimental model of disease, complicates, injury or poisoning
neoplastic process, associated with, clinical attribute
food, issue in, biomedical occupation or discipline
biologic function, affects, rickettsia or chlamydia
acquired abnormality, result of, neoplastic process
biologically active substance, interacts with, receptor
element ion or isotope, isa, substance
indicator reagent or diagnostic aid, causes, pathologic function
pharmacologic substance, disrupts, organ or tissue function
research activity, measures, receptor
pathologic function, result of, natural phenomenon or process
diagnostic procedure, uses, pharmacologic substance
organic chemical, affects, mental or behavioral dysfunction
mental or behavioral dysfunction, associated with, cell or molecular dysfunction
chemical viewed structurally, affects, experimental model of disease
inorganic chemical, interacts with, immunologic factor
mental or behavioral dysfunction, isa, event
natural phenomenon or process, affects, neoplastic process
pathologic function, isa, natural phenomenon or process
experimental model of disease, occurs in, disease or syndrome
bacterium, causes, mental or behavioral dysfunction
biologic function, process of, neoplastic process
fully formed anatomical structure, part of, archaeon
organism function, result of, neoplastic process
neoplastic process, affects, mammal
biologic function, affects, alga
research activity, method of, occupation or discipline
steroid, causes, pathologic function
mental or behavioral dysfunction, produces, body substance
disease or syndrome, co-occurs with, pathologic function
chemical viewed structurally, affects, mental process
molecular function, isa, biologic function
rickettsia or chlamydia, causes, mental or behavioral dysfunction
pathologic function, affects, organism
pathologic function, process of, vertebrate
diagnostic procedure, measures, pathologic function
biologic function, result of, cell or molecular dysfunction
acquired abnormality, isa, physical object
physiologic function, result of, pathologic function
organic chemical, causes, pathologic function
tissue, isa, anatomical structure
anatomical abnormality, result of, experimental model of disease
genetic function, affects, neoplastic process
organic chemical, interacts with, pharmacologic substance
anatomical abnormality, affects, fish
mental or behavioral dysfunction, affects, organism
experimental model of disease, isa, event
biologically active substance, disrupts, fully formed anatomical structure
fully formed anatomical structure, part of, fungus
pathologic function, produces, vitamin
biologic function, affects, genetic function
amino acid peptide or protein, affects, experimental model of disease
therapeutic or preventive procedure, affects, biologic function
tissue, issue in, occupation or discipline
body location or region, conceptual part of, fully formed anatomical structure
mental or behavioral dysfunction, affects, cell function
chemical, affects, mental process
natural phenomenon or process, process of, neoplastic process
research device, causes, neoplastic process
antibiotic, treats, experimental model of disease
cell or molecular dysfunction, co-occurs with, experimental model of disease
self help or relief organization, carries out, health care activity
biologically active substance, complicates, organism function
geographic area, associated with, neoplastic process
chemical, affects, physiologic function
amino acid peptide or protein, isa, chemical viewed structurally
cell or molecular dysfunction, affects, neoplastic process
pathologic function, occurs in, age group
mental or behavioral dysfunction, manifestation of, pathologic function
neoplastic process, process of, mental or behavioral dysfunction
steroid, issue in, occupation or discipline
enzyme, affects, mental or behavioral dysfunction
chemical viewed structurally, interacts with, biomedical or dental material
daily or recreational activity, associated with, mental or behavioral dysfunction
eicosanoid, affects, mental or behavioral dysfunction
carbohydrate, interacts with, lipid
indicator reagent or diagnostic aid, isa, physical object
chemical, causes, cell or molecular dysfunction
experimental model of disease, affects, cell function
fish, isa, organism
clinical drug, causes, pathologic function
research activity, measures, element ion or isotope
experimental model of disease, produces, vitamin
tissue, part of, bird
biologic function, result of, organism function
cell component, location of, pathologic function
experimental model of disease, manifestation of, pathologic function
laboratory or test result, measurement of, biologically active substance
drug delivery device, treats, pathologic function
clinical attribute, result of, biologic function
organization, carries out, research activity
disease or syndrome, result of, experimental model of disease
neoplastic process, degree of, experimental model of disease
laboratory procedure, affects, experimental model of disease
diagnostic procedure, associated with, experimental model of disease
experimental model of disease, occurs in, age group
mental or behavioral dysfunction, affects, social behavior
pathologic function, occurs in, professional or occupational group
gene or genome, part of, fish
eicosanoid, interacts with, pharmacologic substance
laboratory or test result, evaluation of, biologic function
inorganic chemical, interacts with, pharmacologic substance
therapeutic or preventive procedure, treats, pathologic function
neoplastic process, process of, fish
governmental or regulatory activity, associated with, neoplastic process
family group, performs, research activity
element ion or isotope, interacts with, chemical
biologically active substance, complicates, physiologic function
receptor, disrupts, embryonic structure
cell or molecular dysfunction, process of, biologic function
pharmacologic substance, treats, injury or poisoning
medical device, treats, pathologic function
receptor, affects, biologic function
disease or syndrome, affects, biologic function
pathologic function, affects, cell or molecular dysfunction
carbohydrate, causes, experimental model of disease
neoplastic process, manifestation of, experimental model of disease
mental process, process of, mental or behavioral dysfunction
hazardous or poisonous substance, disrupts, embryonic structure
carbohydrate, causes, anatomical abnormality
mental or behavioral dysfunction, affects, cell or molecular dysfunction
pathologic function, produces, receptor
biologic function, result of, physiologic function
hazardous or poisonous substance, affects, biologic function
tissue, produces, biologically active substance
biologic function, affects, animal
research activity, isa, activity
enzyme, complicates, experimental model of disease
disease or syndrome, process of, biologic function
occupational activity, associated with, neoplastic process
diagnostic procedure, assesses effect of, chemical viewed structurally
hormone, disrupts, embryonic structure
eicosanoid, causes, experimental model of disease
enzyme, causes, experimental model of disease
organ or tissue function, affects, experimental model of disease
neuroreactive substance or biogenic amine, affects, biologic function
molecular biology research technique, isa, research activity
neoplastic process, result of, diagnostic procedure
physiologic function, process of, organism
neoplastic process, process of, disease or syndrome
tissue, produces, enzyme
pathologic function, affects, organism function
gene or genome, isa, fully formed anatomical structure
sign or symptom, diagnoses, neoplastic process
biologic function, process of, plant
inorganic chemical, affects, disease or syndrome
pharmacologic substance, interacts with, chemical
cell function, produces, biologically active substance
tissue, adjacent to, body space or junction
amino acid peptide or protein, causes, pathologic function
body location or region, location of, tissue
molecular biology research technique, associated with, mental or behavioral dysfunction
chemical viewed structurally, issue in, occupation or discipline
mental or behavioral dysfunction, affects, organism function
biologically active substance, interacts with, hazardous or poisonous substance
natural phenomenon or process, result of, biologic function
pharmacologic substance, complicates, mental or behavioral dysfunction
manufactured object, causes, cell or molecular dysfunction
population group, associated with, pathologic function
neoplastic process, result of, cell function
inorganic chemical, causes, mental or behavioral dysfunction
research activity, measures, quantitative concept
research activity, measures, hazardous or poisonous substance
research activity, associated with, disease or syndrome
pharmacologic substance, causes, mental or behavioral dysfunction
biologic function, process of, human
experimental model of disease, occurs in, group
organic chemical, affects, neoplastic process
genetic function, result of, biologic function
laboratory procedure, diagnoses, experimental model of disease
substance, causes, pathologic function
health care activity, affects, experimental model of disease
hormone, complicates, mental or behavioral dysfunction
experimental model of disease, affects, organism function
steroid, affects, molecular function
organophosphorus compound, interacts with, biologically active substance
mental or behavioral dysfunction, affects, individual behavior
inorganic chemical, isa, chemical
pathologic function, process of, mental or behavioral dysfunction
fully formed anatomical structure, produces, neuroreactive substance or biogenic amine
steroid, affects, biologic function
organic chemical, interacts with, inorganic chemical
carbohydrate, interacts with, chemical
cell, isa, fully formed anatomical structure
pathologic function, result of, experimental model of disease
hormone, causes, mental or behavioral dysfunction
pharmacologic substance, isa, chemical
bacterium, causes, neoplastic process
disease or syndrome, manifestation of, experimental model of disease
genetic function, isa, biologic function
pathologic function, result of, anatomical abnormality
neoplastic process, affects, pathologic function
neoplastic process, precedes, mental or behavioral dysfunction
rickettsia or chlamydia, causes, neoplastic process
congenital abnormality, affects, fish
neoplastic process, affects, rickettsia or chlamydia
body substance, causes, experimental model of disease
tissue, produces, eicosanoid
neoplastic process, result of, social behavior
hormone, isa, chemical
laboratory procedure, assesses effect of, steroid
age group, performs, research activity
pathologic function, result of, mental process
tissue, location of, rickettsia or chlamydia
therapeutic or preventive procedure, affects, pathologic function
mental or behavioral dysfunction, affects, physiologic function
fully formed anatomical structure, location of, rickettsia or chlamydia
immunologic factor, disrupts, embryonic structure
experimental model of disease, process of, mental or behavioral dysfunction
biologic function, produces, vitamin
immunologic factor, affects, biologic function
